ist_no,station,il,ilce,basin,enlem,boylam,veri_zamani,sicaklik_c,qc_flag,source,date_inferred
17486,İSKENDERUN KÖRFEZİ,Hatay,Payas,Akdeniz,36.59159,36.17992,2021-02-07T19:39:00.000Z,17.4,,mgm,0
17015,AKÇAKOCA,Düzce,Akçakoca,Karadeniz,41.089528,31.143039,2021-02-08T06:00:00.000Z,10.8,,mgm,0
17024,İNEBOLU,Kastamonu,İnebolu,Karadeniz,41.978937,33.762945,2021-02-08T06:00:00.000Z,10.4,,mgm,0
17026,SİNOP,Sinop,Merkez,Karadeniz,42.029821,35.154286,2021-02-08T06:00:00.000Z,11.2,,mgm,0
17030,SAMSUN BÖLGE,Samsun,Atakum,Karadeniz,41.344286,36.255794,2021-02-08T06:00:00.000Z,10.0,,mgm,0
17033,ORDU,Ordu,Altınordu,Karadeniz,40.983833,37.885833,2021-02-08T06:00:00.000Z,10.9,,mgm,0
17034,GİRESUN,Giresun,Merkez,Karadeniz,40.922667,38.387833,2021-02-08T06:00:00.000Z,10.5,,mgm,0
17038,TRABZON HAVALİMANI,Trabzon,Ortahisar,Karadeniz,40.999133,39.779248,2021-02-08T06:00:00.000Z,9.1,,mgm,0
17040,RİZE,Rize,Merkez,Karadeniz,41.04,40.501333,2021-02-08T06:00:00.000Z,9.3,,mgm,0
17042,HOPA,Artvin,Hopa,Karadeniz,41.4065,41.433,2021-02-08T06:00:00.000Z,11.6,,mgm,0
17056,TEKİRDAĞ,Tekirdağ,Süleymanpaşa,Marmara,40.957959,27.496181,2021-02-08T06:00:00.000Z,10.6,,mgm,0
17059,SARIYER/KUMKÖY-KİLYOS,İstanbul,Sarıyer,Karadeniz,41.25047,29.038367,2021-02-08T06:00:00.000Z,9.9,,mgm,0
17112,ÇANAKKALE,Çanakkale,Merkez,Marmara,40.141428,26.399616,2021-02-08T06:00:00.000Z,11.0,,mgm,0
17175,AYVALIK,Balıkesir,Ayvalık,Ege,39.311292,26.686445,2021-02-08T06:00:00.000Z,13.2,,mgm,0
17180,DİKİLİ,İzmir,Dikili,Ege,39.073861,26.888093,2021-02-08T06:00:00.000Z,14.7,,mgm,0
17220,İZMİR BÖLGE,İzmir,Konak,Ege,38.3945,27.0821,2021-02-08T06:00:00.000Z,13.8,,mgm,0
17221,ÇEŞME,İzmir,Çeşme,Ege,38.303858,26.372882,2021-02-08T06:00:00.000Z,16.6,,mgm,0
17232,KUŞADASI,Aydın,Kuşadası,Ege,37.859636,27.265115,2021-02-08T06:00:00.000Z,17.0,,mgm,0
17290,BODRUM,Muğla,Bodrum,Ege,37.032611,27.439801,2021-02-08T06:00:00.000Z,18.5,,mgm,0
17296,FETHİYE,Muğla,Fethiye,Akdeniz,36.626611,29.123804,2021-02-08T06:00:00.000Z,18.3,,mgm,0
17297,DATÇA,Muğla,Datça,Ege,36.707945,27.691918,2021-02-08T06:00:00.000Z,17.8,,mgm,0
17298,MARMARİS,Muğla,Marmaris,Akdeniz,36.83926,28.244995,2021-02-08T06:00:00.000Z,18.0,,mgm,0
17302,ANTALYA BÖLGE,Antalya,Muratpaşa,Akdeniz,36.885073,30.682793,2021-02-08T06:00:00.000Z,18.1,,mgm,0
17310,ALANYA,Antalya,Alanya,Akdeniz,36.54999,31.979822,2021-02-08T06:00:00.000Z,18.3,,mgm,0
17320,ANAMUR,Mersin,Anamur,Akdeniz,36.068614,32.864876,2021-02-08T06:00:00.000Z,17.4,,mgm,0
17340,MERSİN,Mersin,Yenişehir,Akdeniz,36.780904,34.603125,2021-02-08T06:00:00.000Z,16.5,,mgm,0
17370,İSKENDERUN,Hatay,İskenderun,Akdeniz,36.592358,36.158158,2021-02-08T06:00:00.000Z,17.4,,mgm,0
17375,FİNİKE,Antalya,Finike,Akdeniz,36.3024,30.1458,2021-02-08T06:00:00.000Z,18.0,,mgm,0
17380,KAŞ,Antalya,Kaş,Akdeniz,36.200579,29.649995,2021-02-08T06:00:00.000Z,17.9,,mgm,0
17427,BOZCAADA LİMAN GİRİŞİ GÜNEY MENDİREK FENERİ,Çanakkale,Bozcaada,Ege,39.8341,26.0748,2021-02-08T15:24:00.000Z,17.2,,mgm,0
17433,GÖKÇEADA UĞURLU LİMAN FENERİ,Çanakkale,Gökçeada,Ege,40.1153,25.6989,2021-02-08T19:06:00.000Z,10.7,,mgm,0
17421,AYVALIK KANAL SANCAK A FENERİ,Balıkesir,Ayvalık,Ege,39.323394,26.640546,2021-02-08T19:27:00.000Z,15.3,,mgm,0
17425,LAPSEKİ/ZİNCİRBOZAN FENERİ,Çanakkale,Lapseki,Marmara,40.4206,26.7536,2021-02-08T19:27:00.000Z,11.8,,mgm,0
17426,BARTIN GÜNEY MENDİREK FENERİ,Bartın,Merkez,Karadeniz,41.6864,32.2261,2021-02-08T19:27:00.000Z,9.5,,mgm,0
17428,AYVACIK/GÜLPINAR ANA MENDİREK FENERİ,Çanakkale,Ayvacık,Ege,39.5658,26.0967,2021-02-08T19:27:00.000Z,16.9,,mgm,0
17430,GÖKÇEADA KALEKÖY ANA MENDİREK FENERİ,Çanakkale,Gökçeada,Ege,40.2317,25.8914,2021-02-08T19:27:00.000Z,15.8,,mgm,0
17431,BİGA/KARABİGA BAR. (B) NOKTASI GÜNEY MEN. FENERİ,Çanakkale,Biga,Marmara,40.399583,27.305591,2021-02-08T19:27:00.000Z,11.6,,mgm,0
17434,EZİNE YENİKÖY BAL.BAR. ANA MENDİREK FENERİ,Çanakkale,Ezine,Ege,39.9447,26.1611,2021-02-08T19:27:00.000Z,17.1,,mgm,0
